giftId,nodeGiftListDefault,nodeGiftListJaJp,nodeGiftListRoomScoped,nodeEvent,pythonGiftListDefault,pythonGiftListJaJp,pythonEvent,csharpEvent,directApiDefault,directApiJaJp,diamondCount,isJapanese,diff,giftListVsEventDiff,inRegularCatalog,seenOnlyViaLiveOrRoomScoped
5269,TikTok,TikTok,TikTok,,TikTok,TikTok,,,TikTok,TikTok,1,false,false,false,true,false
5338,Unicorn Fantasy,ユニコーン ファンタジー,,,Unicorn Fantasy,ユニコーン ファンタジー,,,Unicorn Fantasy,ユニコーン ファンタジー,5000,true,false,false,true,false
5487,Finger Heart,フィンガーハート,Finger Heart,,Finger Heart,フィンガーハート,,,Finger Heart,フィンガーハート,5,true,false,false,true,false
5509,Sunglasses,サングラス,Sunglasses,,Sunglasses,サングラス,,,Sunglasses,サングラス,199,true,false,false,true,false
5566,Mishka Bear,ミシカ ベア,Mishka Bear,,Mishka Bear,ミシカ ベア,,,Mishka Bear,ミシカ ベア,100,true,false,false,true,false
5582,Mishka Bear,ミシカ ベア,Mishka Bear,,Mishka Bear,ミシカ ベア,,,Mishka Bear,ミシカ ベア,100,true,false,false,true,false
5585,Confetti,クラッカー,Confetti,,Confetti,クラッカー,,,Confetti,クラッカー,100,true,false,false,true,false
5586,Hearts,ハート,Hearts,,Hearts,ハート,,,Hearts,ハート,199,true,false,false,true,false
5648,Duit Raya,ラヤグリーンパケット,Duit Raya,,Duit Raya,ラヤグリーンパケット,,,Duit Raya,ラヤグリーンパケット,5,true,false,false,true,false
5655,Rose,バラ,Rose,,Rose,バラ,,,Rose,バラ,1,true,false,false,true,false
5658,Perfume,香水,Perfume,,Perfume,香水,,,Perfume,香水,20,true,false,false,true,false
5659,Paper Crane,折り鶴,Paper Crane,,Paper Crane,折り鶴,,,Paper Crane,折り鶴,99,true,false,false,true,false
5660,Hand Heart,ハートポーズ,Hand Heart,,Hand Heart,ハートポーズ,,,Hand Heart,ハートポーズ,100,true,false,false,true,false
5680,Disco ball,ミラーボール,Disco ball,,Disco ball,ミラーボール,,,Disco ball,ミラーボール,1000,true,false,false,true,false
5731,Coral,サンゴ,Coral,,Coral,サンゴ,,,Coral,サンゴ,499,true,false,false,true,false
5745,Cat Paws,猫の足,Cat Paws,,Cat Paws,猫の足,,,Cat Paws,猫の足,1,true,false,false,true,false
5765,Motorcycle,オートバイ,Motorcycle,,Motorcycle,オートバイ,,,Motorcycle,オートバイ,2988,true,false,false,true,false
5767,Private Jet,プライベートジェット,Private Jet,,Private Jet,プライベートジェット,,,Private Jet,プライベートジェット,4888,true,false,false,true,false
5780,Bouquet Flower,花束,,,Bouquet Flower,花束,,,Bouquet Flower,花束,30,true,false,false,true,false
5827,Ice Cream Cone,ソフトクリーム,Ice Cream Cone,,Ice Cream Cone,ソフトクリーム,,,Ice Cream Cone,ソフトクリーム,1,true,false,false,true,false
5879,Doughnut,ドーナッツ,Doughnut,,Doughnut,ドーナッツ,,,Doughnut,ドーナッツ,30,true,false,false,true,false
5897,Swan,白鳥,Swan,,Swan,白鳥,,,Swan,白鳥,699,true,false,false,true,false
5978,Train,列車,Train,,Train,列車,,,Train,列車,899,true,false,false,true,false
6007,Boxing Gloves,進撃グローブ,Boxing Gloves,,Boxing Gloves,進撃グローブ,,,Boxing Gloves,進撃グローブ,299,true,false,false,true,false
6064,GG,GG,GG,,GG,GG,,,GG,GG,1,false,false,false,true,false
6089,Sports Car,スポーツカー,Sports Car,,Sports Car,スポーツカー,,,Sports Car,スポーツカー,7000,true,false,false,true,false
